state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,252000,0.26385444,0.27202877,2140.0,2100.0,17031252000
17,31,252101,0.28165516,0.31786862,548.0,534.0,17031252101
17,31,252102,0.29608294,0.30955398,2575.0,2510.0,17031252102
17,31,252201,0.29766724,0.33882797,1107.0,1088.0,17031252201
17,31,252202,0.28686386,0.27431965,1727.0,1698.0,17031252202
17,31,260100,0.24699348,0.24199213,384.0,383.0,17031260100
17,31,260200,0.27724126,0.2667022,517.0,510.0,17031260200
17,31,260300,0.25454026,0.25351381,822.0,794.0,17031260300
17,31,260400,0.26046094,0.24715517,582.0,569.0,17031260400
17,31,260500,0.25956041,0.26993185,772.0,761.0,17031260500
17,31,260600,0.26804641,0.26889279,1267.0,1245.0,17031260600
17,31,260700,0.27096745,0.26807016,919.0,900.0,17031260700
17,31,260800,0.27385083,0.28943321,985.0,971.0,17031260800
17,31,260900,0.26132506,0.27363026,901.0,870.0,17031260900
17,31,261000,0.2929796,0.27550408,1144.0,1132.0,17031261000
17,31,270500,0.27100223,0.22647707,491.0,483.0,17031270500
17,31,271200,0.26441857,0.26029602,522.0,513.0,17031271200
17,31,271300,0.24570127,0.23017056,449.0,439.0,17031271300
17,31,271400,0.29619116,0.24805269,501.0,495.0,17031271400
17,31,271500,0.27997458,0.36807966,510.0,501.0,17031271500
17,31,271800,0.26484928,0.25270885,453.0,443.0,17031271800
17,31,280100,0.32086352,0.77040124,80.0,29.0,17031280100
17,31,280400,0.25929916,0.20597187,676.0,654.0,17031280400
17,31,280800,0.24443533,0.14300528,1188.0,1165.0,17031280800
17,31,280900,0.2635842,0.2081819,600.0,587.0,17031280900
17,31,281900,0.35910434,0.54664654,196.0,113.0,17031281900
17,31,282700,0.37949228,0.31427678,481.0,180.0,17031282700
17,31,282800,0.3982563,0.41419461,485.0,99.0,17031282800
17,31,283100,0.33482575,0.42400792,405.0,229.0,17031283100
17,31,283200,0.30601567,0.34121746,293.0,242.0,17031283200
17,31,283800,0.29130182,0.24390006,777.0,746.0,17031283800
17,31,290900,0.26983115,0.25464672,1633.0,1596.0,17031290900
17,31,291200,0.27358353,0.23294038,1330.0,1309.0,17031291200
17,31,291600,0.36604005,0.28841799,463.0,61.0,17031291600
17,31,292200,0.28557691,0.25903857,1103.0,1086.0,17031292200
17,31,292400,0.25834554,0.26001486,947.0,922.0,17031292400
17,31,292500,0.27294603,0.27863368,2021.0,1976.0,17031292500
17,31,300500,0.37331438,0.35047185,1275.0,147.0,17031300500
17,31,300600,0.34133333,0.35174587,1247.0,250.0,17031300600
17,31,300700,0.3734355,0.30551702,2323.0,49.0,17031300700
17,31,300800,0.38937512,0.31691325,1990.0,44.0,17031300800
17,31,300900,0.39628762,0.2936551,2238.0,16.0,17031300900
17,31,301100,0.39042443,0.2783882,1184.0,78.0,17031301100
17,31,301200,0.37836117,0.30051112,1793.0,142.0,17031301200
17,31,301600,0.36628741,0.33952343,2000.0,10.0,17031301600
17,31,301701,0.40433666,0.35549608,1669.0,7.0,17031301701
17,31,301702,0.42439324,0.39692572,1541.0,6.0,17031301702
17,31,301801,0.40686098,0.38761607,1608.0,16.0,17031301801
17,31,301802,0.41065204,0.3497214,1412.0,14.0,17031301802
17,31,301803,0.38572389,0.38265383,2151.0,22.0,17031301803
17,31,310200,0.43600687,0.36797631,357.0,17.0,17031310200
17,31,310300,0.4317835,0.34889036,489.0,32.0,17031310300
17,31,310400,0.37388566,0.35629189,499.0,11.0,17031310400
17,31,310500,0.38029495,0.319765,779.0,16.0,17031310500
17,31,310600,0.3839806,0.27232164,2372.0,45.0,17031310600
17,31,310700,0.38900989,0.32224068,763.0,4.0,17031310700
17,31,310800,0.40091515,0.31498662,2009.0,16.0,17031310800
17,31,310900,0.39685693,0.3164176,2312.0,8.0,17031310900
17,31,320100,0.42910251,0.75756288,350.0,37.0,17031320100
17,31,320400,0.17192236,0.72777814,29.0,2.0,17031320400
17,31,320600,0.39447498,0.62433898,134.0,72.0,17031320600
17,31,330100,0.33274573,0.4762533,709.0,531.0,17031330100
17,31,330200,0.32614642,0.55508482,576.0,299.0,17031330200
17,31,340300,0.56487405,0.43737507,306.0,1.0,17031340300
17,31,340400,0.55084109,0.41770634,347.0,0.0,17031340400
17,31,340500,0.45513514,0.49864662,204.0,14.0,17031340500
17,31,340600,0.2456969,0.18387538,557.0,550.0,17031340600
17,31,350100,0.34178787,0.49270153,244.0,202.0,17031350100
17,31,350400,0.23180233,0.15026096,980.0,963.0,17031350400
17,31,351000,0.32585883,0.45745116,463.0,446.0,17031351000
17,31,351100,0.27310482,0.22089255,2079.0,2038.0,17031351100
17,31,351400,0.29397804,0.22895564,503.0,487.0,17031351400
17,31,351500,0.25231096,0.13539439,1183.0,1175.0,17031351500
17,31,360200,0.25733295,0.20731358,705.0,700.0,17031360200
17,31,380100,0.28016591,0.25447956,342.0,340.0,17031380100
17,31,380200,0.28797555,0.27883658,469.0,460.0,17031380200
17,31,380500,0.22103572,0.15043381,694.0,688.0,17031380500
17,31,380700,0.27579099,0.19315793,625.0,611.0,17031380700
17,31,381200,0.29243594,0.2960797,650.0,633.0,17031381200
