geoid,Threshold,jobs
17031020500,15,4957.97421472105
17031020500,20,10375.453352086264
17031020500,25,20644.46601031411
17031020500,30,32567.785278949836
17031020500,35,49430.84622597281
17031020500,40,77445.40600093764
17031020500,45,121767.4589779653
17031020500,50,187660.1261134552
17031020500,55,307442.17627754336
17031020500,60,579719.7435536803
17031020601,5,116.12334801762114
17031020601,10,799.7546255506608
17031020601,15,3408.80704845815
17031020601,20,8850.93832599119
17031020601,25,17715.742731277533
17031020601,30,38651.53832599119
17031020601,35,65018.729515418505
17031020601,40,102463.40352422908
17031020601,45,145243.7511013216
17031020601,50,190613.10925110133
17031020601,55,246481.33171806167
17031020601,60,308645.1859030837
17031020602,5,338.44200807847665
17031020602,10,1737.1886901327175
17031020602,15,4298.221581073283
17031020602,20,8594.627236006925
17031020602,25,17975.139642238893
17031020602,30,34453.37160992499
17031020602,35,59857.11367570687
17031020602,40,96829.35314483556
17031020602,45,147983.8615118292
17031020602,50,204431.12117714944
17031020602,55,276321.03519907675
17031020602,60,445623.7374495095
17031020701,5,185.27252985884908
17031020701,10,1047.7839305103148
17031020701,15,3160.6026058631924
17031020701,20,9680.44191096634
17031020701,25,17410.01520086862
17031020701,30,29124.803474484255
17031020701,35,53380.42779587405
17031020701,40,91597.338762215
17031020701,45,145332.31161780673
17031020701,50,206896.664495114
17031020701,55,279036.04017372424
17031020701,60,428552.3376764387
17031020702,5,295.92226277372265
17031020702,10,1409.5788321167884
17031020702,15,4189.778832116788
17031020702,20,9943.91386861314
17031020702,25,20366.2401459854
17031020702,30,37932.22700729927
17031020702,35,62602.75182481752
17031020702,40,98910.35
17031020702,45,147723.96459854016
17031020702,50,198281.04379562044
17031020702,55,261001.098540146
17031020702,60,328497.0686131387
17031020801,5,190.0968809073724
17031020801,10,1038.343100189036
17031020801,15,4163.765595463138
17031020801,20,11136.752835538751
17031020801,25,21034.753308128544
17031020801,30,37136.56758034026
17031020801,35,64523.50708884688
17031020801,40,110493.9754253308
17031020801,45,165941.64555765595
17031020801,50,238424.51606805297
17031020801,55,458349.16965973534
17031020801,60,773422.5170132325
17031020802,5,270.7312252964427
17031020802,10,1622.1584980237153
17031020802,15,5011.827272727272
17031020802,20,10598.994466403165
17031020802,25,21157.31699604743
17031020802,30,38780.28339920949
17031020802,35,64789.20592885376
17031020802,40,102472.30830039526
17031020802,45,156233.94940711462
17031020802,50,214310.18932806325
17031020802,55,306663.33596837946
17031020802,60,503391.2312252965
17031020901,5,106.84433085501858
17031020901,10,1198.0204460966545
17031020901,15,4514.339219330855
17031020901,20,10098.35408921933
17031020901,25,21835.95724907063
17031020901,30,38798.36802973978
17031020901,35,60158.42472118959
17031020901,40,91135.41031598514
17031020901,45,140015.95120817845
17031020901,50,201280.5845724907
17031020901,55,309573.875929368
17031020901,60,627366.2908921933
17031020902,5,53.57201889020071
17031020902,10,508.874852420307
17031020902,15,1965.071428571429
17031020902,20,7670.050767414404
17031020902,25,18077.847107438018
17031020902,30,31836.363636363636
17031020902,35,49417.440377804014
17031020902,40,74801.83530106257
17031020902,45,108101.3051948052
17031020902,50,166350.800472255
17031020902,55,291097.06493506493
17031020902,60,522728.3400236128
17031030101,5,197.32955190017017
17031030101,10,1189.5104934770277
